country1,Peppermint oil, Headache, Apply diluted oil to temples and massage, Health food stores or online, Head pain,1,1
country1,Turmeric, Inflammation, Use in cooking or take as a supplement, Grocery stores or health food stores, Swelling,2,0
country1,Turmeric, Inflammation, Use in cooking or take as a supplement, Grocery stores or health food stores, pain,2,0
country1,Turmeric, Inflammation, Use in cooking or take as a supplement, Grocery stores or health food stores, redness,2,0
country1,Turmeric, Inflammation, Use in cooking or take as a supplement, Grocery stores or health food stores, Swelling,3,0
country1,Turmeric, Inflammation, Use in cooking or take as a supplement, Grocery stores or health food stores, pain,3,0
country1,Turmeric, Inflammation, Use in cooking or take as a supplement, Grocery stores or health food stores, redness,3,0
country1,Turmeric, Inflammation, Use in cooking or take as a supplement, Grocery stores or health food stores, Swelling,4,0
country1,Turmeric, Inflammation, Use in cooking or take as a supplement, Grocery stores or health food stores, pain,4,0
country1,Turmeric, Inflammation, Use in cooking or take as a supplement, Grocery stores or health food stores, redness,4,0
country1,Turmeric, Inflammation, Use in cooking or take as a supplement, Grocery stores or health food stores, Swelling,5,0
country1,Turmeric, Inflammation, Use in cooking or take as a supplement, Grocery stores or health food stores, pain,5,0
country1,Turmeric, Inflammation, Use in cooking or take as a supplement, Grocery stores or health food stores, redness,5,0
country1,Turmeric, Inflammation, Use in cooking or take as a supplement, Grocery stores or health food stores, Swelling,6,0
country1,Turmeric, Inflammation, Use in cooking or take as a supplement, Grocery stores or health food stores, pain,6,0
country1,Turmeric, Inflammation, Use in cooking or take as a supplement, Grocery stores or health food stores, redness,6,0
country1,Arnica, Bruises, Apply gel or cream to affected area, Health food stores or online, Discoloration,1,0
country1,Arnica, Bruises, Apply gel or cream to affected area, Health food stores or online, tenderness,1,0
country1,Arnica, Bruises, Apply gel or cream to affected area, Health food stores or online, swelling,1,0
country1,Arnica, Bruises, Apply gel or cream to affected area, Health food stores or online, Discoloration,2,0
country1,Arnica, Bruises, Apply gel or cream to affected area, Health food stores or online, tenderness,2,0
country1,Arnica, Bruises, Apply gel or cream to affected area, Health food stores or online, swelling,2,0
country1,Arnica, Bruises, Apply gel or cream to affected area, Health food stores or online, Discoloration,3,0
country1,Arnica, Bruises, Apply gel or cream to affected area, Health food stores or online, tenderness,3,0
country1,Arnica, Bruises, Apply gel or cream to affected area, Health food stores or online, swelling,3,0
country1,Arnica, Bruises, Apply gel or cream to affected area, Health food stores or online, Discoloration,4,0
country1,Arnica, Bruises, Apply gel or cream to affected area, Health food stores or online, tenderness,4,0
country1,Arnica, Bruises, Apply gel or cream to affected area, Health food stores or online, swelling,4,0
country1,Arnica, Bruises, Apply gel or cream to affected area, Health food stores or online, Discoloration,5,0
country1,Arnica, Bruises, Apply gel or cream to affected area, Health food stores or online, tenderness,5,0
country1,Arnica, Bruises, Apply gel or cream to affected area, Health food stores or online, swelling,5,0
country1,Arnica, Bruises, Apply gel or cream to affected area, Health food stores or online, Discoloration,6,0
country1,Arnica, Bruises, Apply gel or cream to affected area, Health food stores or online, tenderness,6,0
country1,Arnica, Bruises, Apply gel or cream to affected area, Health food stores or online, swelling,6,0
country1,Echinacea, Common cold, Take as directed to boost immune system, Health food stores or online, Runny nose,1,0
country1,Echinacea, Common cold, Take as directed to boost immune system, Health food stores or online, sore throat,1,0
country1,Echinacea, Common cold, Take as directed to boost immune system, Health food stores or online, coughing,1,0
country1,Oatmeal, Eczema, Apply colloidal oatmeal to skin or take oatmeal baths, Grocery stores, Itchy,1,0
country1,Oatmeal, Eczema, Apply colloidal oatmeal to skin or take oatmeal baths, Grocery stores, dry,1,0
country1,Oatmeal, Eczema, Apply colloidal oatmeal to skin or take oatmeal baths, Grocery stores, inflamed skin,1,0
country1,Oatmeal, Eczema, Apply colloidal oatmeal to skin or take oatmeal baths, Grocery stores, Itchy,2,0
country1,Oatmeal, Eczema, Apply colloidal oatmeal to skin or take oatmeal baths, Grocery stores, dry,2,0
country1,Oatmeal, Eczema, Apply colloidal oatmeal to skin or take oatmeal baths, Grocery stores, inflamed skin,2,0
country1,Oatmeal, Eczema, Apply colloidal oatmeal to skin or take oatmeal baths, Grocery stores, Itchy,3,0
country1,Oatmeal, Eczema, Apply colloidal oatmeal to skin or take oatmeal baths, Grocery stores, dry,3,0
country1,Oatmeal, Eczema, Apply colloidal oatmeal to skin or take oatmeal baths, Grocery stores, inflamed skin,3,0
country1,Oatmeal, Eczema, Apply colloidal oatmeal to skin or take oatmeal baths, Grocery stores, Itchy,4,0
country1,Oatmeal, Eczema, Apply colloidal oatmeal to skin or take oatmeal baths, Grocery stores, dry,4,0
country1,Oatmeal, Eczema, Apply colloidal oatmeal to skin or take oatmeal baths, Grocery stores, inflamed skin,4,0
country1,Oatmeal, Eczema, Apply colloidal oatmeal to skin or take oatmeal baths, Grocery stores, Itchy,5,0
country1,Oatmeal, Eczema, Apply colloidal oatmeal to skin or take oatmeal baths, Grocery stores, dry,5,0
country1,Oatmeal, Eczema, Apply colloidal oatmeal to skin or take oatmeal baths, Grocery stores, inflamed skin,5,0
country1,Oatmeal, Eczema, Apply colloidal oatmeal to skin or take oatmeal baths, Grocery stores, Itchy,6,0
country1,Oatmeal, Eczema, Apply colloidal oatmeal to skin or take oatmeal baths, Grocery stores, dry,6,0
country1,Oatmeal, Eczema, Apply colloidal oatmeal to skin or take oatmeal baths, Grocery stores, inflamed skin,6,0
country1,Valerian root, Anxiety, Take as directed for calming effects, Health food stores or online, Feelings of worry,1,1
country1,Valerian root, Anxiety, Take as directed for calming effects, Health food stores or online, nervousness,1,1
country1,Valerian root, Anxiety, Take as directed for calming effects, Health food stores or online, restlessness,1,1
country1,Probiotics, Digestive issues, Take supplements or consume fermented foods, Health food stores or online, Bloating,2,1
country1,Probiotics, Digestive issues, Take supplements or consume fermented foods, Health food stores or online, gas,2,1
country1,Probiotics, Digestive issues, Take supplements or consume fermented foods, Health food stores or online, irregular bowel movements,2,1
country1,Lemon balm, Cold sores, Apply diluted oil or cream to affected area, Health food stores or online, Painful blisters,1,1
country1,Lemon balm, Cold sores, Apply diluted oil or cream to affected area, Health food stores or online, tingling sensation,1,1
country1,Cranberry juice, Urinary tract infection (UTI), Drink unsweetened juice to help prevent or alleviate symptoms, Grocery stores, Painful urination,5,1
country1,Cranberry juice, Urinary tract infection (UTI), Drink unsweetened juice to help prevent or alleviate symptoms, Grocery stores, frequent urge to urinate,5,1
country1,Peppermint tea, Indigestion, Drink tea after meals, Grocery stores or health food stores, Bloating,2,1
country1,Peppermint tea, Indigestion, Drink tea after meals, Grocery stores or health food stores, gas,2,1
country1,Peppermint tea, Indigestion, Drink tea after meals, Grocery stores or health food stores, discomfort in stomach,2,1
country1,Coconut oil, Dry skin, Apply directly to skin as a moisturizer, Grocery stores, Flaky,1,0
country1,Coconut oil, Dry skin, Apply directly to skin as a moisturizer, Grocery stores, rough,1,0
country1,Coconut oil, Dry skin, Apply directly to skin as a moisturizer, Grocery stores, itchy skin,1,0
country1,Coconut oil, Dry skin, Apply directly to skin as a moisturizer, Grocery stores, Flaky,2,0
country1,Coconut oil, Dry skin, Apply directly to skin as a moisturizer, Grocery stores, rough,2,0
country1,Coconut oil, Dry skin, Apply directly to skin as a moisturizer, Grocery stores, itchy skin,2,0
country1,Coconut oil, Dry skin, Apply directly to skin as a moisturizer, Grocery stores, Flaky,3,0
country1,Coconut oil, Dry skin, Apply directly to skin as a moisturizer, Grocery stores, rough,3,0
country1,Coconut oil, Dry skin, Apply directly to skin as a moisturizer, Grocery stores, itchy skin,3,0
country1,Coconut oil, Dry skin, Apply directly to skin as a moisturizer, Grocery stores, Flaky,4,0
country1,Coconut oil, Dry skin, Apply directly to skin as a moisturizer, Grocery stores, rough,4,0
country1,Coconut oil, Dry skin, Apply directly to skin as a moisturizer, Grocery stores, itchy skin,4,0
country1,Coconut oil, Dry skin, Apply directly to skin as a moisturizer, Grocery stores, Flaky,5,0
country1,Coconut oil, Dry skin, Apply directly to skin as a moisturizer, Grocery stores, rough,5,0
country1,Coconut oil, Dry skin, Apply directly to skin as a moisturizer, Grocery stores, itchy skin,5,0
country1,Coconut oil, Dry skin, Apply directly to skin as a moisturizer, Grocery stores, Flaky,6,0
country1,Coconut oil, Dry skin, Apply directly to skin as a moisturizer, Grocery stores, rough,6,0
country1,Coconut oil, Dry skin, Apply directly to skin as a moisturizer, Grocery stores, itchy skin,6,0
country1,St. John's wort, Mild depression, Take as directed for mood improvement, Health food stores or online, Feelings of sadness,1,1
country1,St. John's wort, Mild depression, Take as directed for mood improvement, Health food stores or online, low energy,1,1
country1,St. John's wort, Mild depression, Take as directed for mood improvement, Health food stores or online, loss of interest,1,1
country1,Witch hazel, Hemorrhoids, Apply to affected area with a cotton pad, Health food stores or online, Pain,5,2
country1,Witch hazel, Hemorrhoids, Apply to affected area with a cotton pad, Health food stores or online, itching,5,2
country1,Witch hazel, Hemorrhoids, Apply to affected area with a cotton pad, Health food stores or online, swelling around rectal area,5,2
country1,Licorice root, Sore throat, Drink licorice tea or use as gargle, Health food stores or online, Pain or irritation in throat,1,1
country1,Ginseng, Fatigue, Take as directed for energy boost, Health food stores or online, Persistent tiredness,1,1
country1,Ginseng, Fatigue, Take as directed for energy boost, Health food stores or online, lack of energy,1,1
country1,Cinnamon, Blood sugar control, Use in cooking or sprinkle on food, Grocery stores, High or low blood sugar levels,1,1
country1,Chamomile oil, Skin irritation, Apply diluted oil to affected area, Health food stores or online, Redness,1,0
country1,Chamomile oil, Skin irritation, Apply diluted oil to affected area, Health food stores or online, itching,1,0
country1,Chamomile oil, Skin irritation, Apply diluted oil to affected area, Health food stores or online, inflammation,1,0
country1,Chamomile oil, Skin irritation, Apply diluted oil to affected area, Health food stores or online, Redness,2,0
country1,Chamomile oil, Skin irritation, Apply diluted oil to affected area, Health food stores or online, itching,2,0
country1,Chamomile oil, Skin irritation, Apply diluted oil to affected area, Health food stores or online, inflammation,2,0
country1,Chamomile oil, Skin irritation, Apply diluted oil to affected area, Health food stores or online, Redness,3,0
country1,Chamomile oil, Skin irritation, Apply diluted oil to affected area, Health food stores or online, itching,3,0
country1,Chamomile oil, Skin irritation, Apply diluted oil to affected area, Health food stores or online, inflammation,3,0
country1,Chamomile oil, Skin irritation, Apply diluted oil to affected area, Health food stores or online, Redness,4,0
country1,Chamomile oil, Skin irritation, Apply diluted oil to affected area, Health food stores or online, itching,4,0
country1,Chamomile oil, Skin irritation, Apply diluted oil to affected area, Health food stores or online, inflammation,4,0
country1,Chamomile oil, Skin irritation, Apply diluted oil to affected area, Health food stores or online, Redness,5,0
country1,Chamomile oil, Skin irritation, Apply diluted oil to affected area, Health food stores or online, itching,5,0
country1,Chamomile oil, Skin irritation, Apply diluted oil to affected area, Health food stores or online, inflammation,5,0
country1,Chamomile oil, Skin irritation, Apply diluted oil to affected area, Health food stores or online, Redness,6,0
country1,Chamomile oil, Skin irritation, Apply diluted oil to affected area, Health food stores or online, itching,6,0
country1,Chamomile oil, Skin irritation, Apply diluted oil to affected area, Health food stores or online, inflammation,6,0
country1,Fennel seeds, Gas and bloating, Chew seeds or drink fennel tea, Grocery stores or health food stores, Abdominal discomfort,2,1
country1,Fennel seeds, Gas and bloating, Chew seeds or drink fennel tea, Grocery stores or health food stores, bloating,2,1
country1,Ginger tea, Motion sickness, Drink tea before travel, Grocery stores or health food stores, Nausea,1,1
country1,Ginger tea, Motion sickness, Drink tea before travel, Grocery stores or health food stores, dizziness,1,1
country1,Ginger tea, Motion sickness, Drink tea before travel, Grocery stores or health food stores, vomiting,1,1
country1,Yogurt, Vaginal yeast infection, Consume plain yogurt to support vaginal health, Grocery stores, Itching,5,1
country1,Yogurt, Vaginal yeast infection, Consume plain yogurt to support vaginal health, Grocery stores, burning,5,1
country1,Yogurt, Vaginal yeast infection, Consume plain yogurt to support vaginal health, Grocery stores, unusual discharge,5,1
country1,Nettle tea, Allergies, Drink tea to alleviate symptoms, Health food stores or online, Sneezing,1,1
country1,Nettle tea, Allergies, Drink tea to alleviate symptoms, Health food stores or online, itchy eyes,1,1
country1,Nettle tea, Allergies, Drink tea to alleviate symptoms, Health food stores or online, runny nose,1,1
country1,Olive oil, Ear wax buildup, Use a few drops to soften ear wax, Grocery stores, Reduced hearing,1,1
country1,Olive oil, Ear wax buildup, Use a few drops to soften ear wax, Grocery stores, feeling of fullness in ear,1,1
country1,Garlic oil, Ear infections, Apply diluted oil drops to affected ear, Health food stores or online, Ear pain,1,0
country1,Garlic oil, Ear infections, Apply diluted oil drops to affected ear, Health food stores or online, fever,1,0
country1,Garlic oil, Ear infections, Apply diluted oil drops to affected ear, Health food stores or online, difficulty hearing,1,0
country1,Marshmallow root, Cough, Drink tea or take as directed to soothe throat, Health food stores or online, Persistent coughing,1,1
country1,Marshmallow root, Cough, Drink tea or take as directed to soothe throat, Health food stores or online, throat irritation,1,1
country1,Fish oil, Joint pain, Take as directed for anti-inflammatory effects, Health food stores or online, Joint stiffness,3,1
country1,Fish oil, Joint pain, Take as directed for anti-inflammatory effects, Health food stores or online, swelling,3,1
country1,Fish oil, Joint pain, Take as directed for anti-inflammatory effects, Health food stores or online, pain,3,1
country1,Fish oil, Joint pain, Take as directed for anti-inflammatory effects, Health food stores or online, Joint stiffness,4,1
country1,Fish oil, Joint pain, Take as directed for anti-inflammatory effects, Health food stores or online, swelling,4,1
country1,Fish oil, Joint pain, Take as directed for anti-inflammatory effects, Health food stores or online, pain,4,1
country1,Fish oil, Joint pain, Take as directed for anti-inflammatory effects, Health food stores or online, Joint stiffness,5,1
country1,Fish oil, Joint pain, Take as directed for anti-inflammatory effects, Health food stores or online, swelling,5,1
country1,Fish oil, Joint pain, Take as directed for anti-inflammatory effects, Health food stores or online, pain,5,1
country1,Fish oil, Joint pain, Take as directed for anti-inflammatory effects, Health food stores or online, Joint stiffness,6,1
country1,Fish oil, Joint pain, Take as directed for anti-inflammatory effects, Health food stores or online, swelling,6,1
country1,Fish oil, Joint pain, Take as directed for anti-inflammatory effects, Health food stores or online, pain,6,1
country1,Catnip tea, Anxiety, Drink tea to promote relaxation, Health food stores or online, Feelings of tension,1,1
country1,Catnip tea, Anxiety, Drink tea to promote relaxation, Health food stores or online, nervousness,1,1
country1,Catnip tea, Anxiety, Drink tea to promote relaxation, Health food stores or online, restlessness,1,1
country1,Baking soda, Heartburn, Mix with water and drink to neutralize stomach acid, Grocery stores, Burning sensation in chest,2,1
country1,Baking soda, Heartburn, Mix with water and drink to neutralize stomach acid, Grocery stores, regurgitation of acid into throat,1,1
country1,Sage tea, Excessive sweating, Drink tea to reduce sweating, Health food stores or online, Profuse sweating without physical exertion,1,1
country1,Sage tea, Excessive sweating, Drink tea to reduce sweating, Health food stores or online, Profuse sweating without physical exertion,2,1
country1,Sage tea, Excessive sweating, Drink tea to reduce sweating, Health food stores or online, Profuse sweating without physical exertion,3,1
country1,Sage tea, Excessive sweating, Drink tea to reduce sweating, Health food stores or online, Profuse sweating without physical exertion,4,1
country1,Sage tea, Excessive sweating, Drink tea to reduce sweating, Health food stores or online, Profuse sweating without physical exertion,5,1
country1,Sage tea, Excessive sweating, Drink tea to reduce sweating, Health food stores or online, Profuse sweating without physical exertion,6,1
country1,Cayenne pepper, Muscle pain, Mix with oil and apply to sore muscles, Grocery stores, Muscle soreness,1,1
country1,Cayenne pepper, Muscle pain, Mix with oil and apply to sore muscles, Grocery stores, stiffness,1,1
country1,Cayenne pepper, Muscle pain, Mix with oil and apply to sore muscles, Grocery stores, Muscle soreness,2,1
country1,Cayenne pepper, Muscle pain, Mix with oil and apply to sore muscles, Grocery stores, stiffness,2,1
country1,Cayenne pepper, Muscle pain, Mix with oil and apply to sore muscles, Grocery stores, Muscle soreness,3,1
country1,Cayenne pepper, Muscle pain, Mix with oil and apply to sore muscles, Grocery stores, stiffness,3,1
country1,Cayenne pepper, Muscle pain, Mix with oil and apply to sore muscles, Grocery stores, Muscle soreness,4,1
country1,Cayenne pepper, Muscle pain, Mix with oil and apply to sore muscles, Grocery stores, stiffness,4,1
country1,Cayenne pepper, Muscle pain, Mix with oil and apply to sore muscles, Grocery stores, Muscle soreness,5,1
country1,Cayenne pepper, Muscle pain, Mix with oil and apply to sore muscles, Grocery stores, stiffness,5,1
country1,Cayenne pepper, Muscle pain, Mix with oil and apply to sore muscles, Grocery stores, Muscle soreness,6,1
country1,Cayenne pepper, Muscle pain, Mix with oil and apply to sore muscles, Grocery stores, stiffness,6,1
country1,Rosemary oil, Hair loss, Massage diluted oil into scalp, Health food stores or online, Thinning hair,1,0
country1,Rosemary oil, Hair loss, Massage diluted oil into scalp, Health food stores or online, bald patches,1,0
country1,Green tea, Bad breath, Drink tea to help freshen breath, Grocery stores or health food stores, Unpleasant odor from mouth,1,1
country1,Oregano oil, Sinus infection, Inhale steam with a few drops of oil, Health food stores or online, Nasal congestion,1,1
country1,Oregano oil, Sinus infection, Inhale steam with a few drops of oil, Health food stores or online, facial pain or pressure,1,1
country1,Astragalus, Common cold prevention, Take as directed to boost immune system, Health food stores or online, Runny nose,1,1
country1,Astragalus, Common cold prevention, Take as directed to boost immune system, Health food stores or online, Runny nose,1,1
country1,Lemon water, Kidney stones, Drink to help prevent formation of stones, Grocery stores, Severe pain in side and back,2,1
country1,Lemon water, Kidney stones, Drink to help prevent formation of stones, Grocery stores, pain while urinating,2,1
country1,Almond oil, Dark circles under eyes, Apply oil gently under eyes before bed, Grocery stores or health food stores, Dark,1,1
country1,Almond oil, Dark circles under eyes, Apply oil gently under eyes before bed, Grocery stores or health food stores, puffy circles under eyes,1,1
country1,Ginger compress, Menstrual cramps, Apply warm ginger compress to lower abdomen, Health food stores or online, Painful menstrual periods,2,1
country1,Ginger compress, Menstrual cramps, Apply warm ginger compress to lower abdomen, Health food stores or online, lower abdominal pain,2,1
country1,Hibiscus tea, High blood pressure, Drink tea regularly to help lower blood pressure, Health food stores or online, Headache,1,1
country1,Hibiscus tea, High blood pressure, Drink tea regularly to help lower blood pressure, Health food stores or online, dizziness,1,1
country1,Hibiscus tea, High blood pressure, Drink tea regularly to help lower blood pressure, Health food stores or online, chest pain,1,1
